time,Nick,imagen,alto,ancho,tamaño,tipo,tags,des
1687147233,Perfil1,Assets\imgs\abuelomax.jpg,84,150,43.9 KB,JPEG (ISO 10918),"meme,dibujito",El que sabe sabe
1687147256,Perfil2,Assets\imgs\gatodudando.jpg,134,150,26.0 KB,JPEG (ISO 10918),"meme,gato",¿cómo?
1687147300,Perfil3,Assets\imgs\gigachad.jpg,118,150,38.9 KB,JPEG (ISO 10918),"meme,chad",Literalmente yo
1687147320,Perfil4,Assets\imgs\heisenberg.png,150,112,133.8 KB,Portable network graphics,"meme,serie",Say my name
1687147431,Perfil5,Assets\imgs\meme.jpg,150,128,52.5 KB,JPEG (ISO 10918),meme,um akshually
1687147400,Perfil4,Assets\imgs\perronerd.png,149,150,60.0 KB,Portable network graphics,"meme,perro",um akshually
1687147451,Perfil1,Assets\imgs\que.png,150,150,167.9 KB,Portable network graphics,"meme,serie",¿qué?
1687147497,Perfil1,Assets\imgs\saulgoodman.png,109,150,89.3 KB,Portable network graphics,"meme,serie","Your honor,free bird was playing"
1687147539,Perfil3,Assets\imgs\sillycat.jpg,150,120,48.7 KB,JPEG (ISO 10918),"meme,gato",blehh  :P
1687147561,Perfil2,Assets\imgs\tunometescabra.jpg,150,150,15.9 KB,JPEG (ISO 10918),"meme,perro",Tu no mete cabra